AVGDINNERPRICE,AVGLUNCHPRICE,City,City Id (Dim City),CITY_ID,City Name,DINNERRATING,FACT_ID,HAS_ONLINE_DELIVERY,HAS_TABLE_BOOKING,Hotel Id (Dm Hotel Tgt),HOTEL_ID,Hotel Name,LAT,LONG_FLD,LUNCHRATING,Number of Records,Speciality2 Id (Dm Speciality Tgt1),SPECIALITY2_ID,Speciality 1,Speciality 2,Speciality Id (Dm Speciality Tgt),SPECIALITY_ID,TOTALRATING,VOTES
3500,3500,Kyoto,CT71,CT71,Kyoto,59,560,Yes,No,HT186,HT186,Honkedaiichiasahi  ,35,136,4,1,S100,S100,Ramen,Dumplings,SP216,SP216,4,294
4500,1500,Kyoto,CT71,CT71,Kyoto,3,561,Yes,No,HT199,HT199,Ichibakouji  ,35,136,4,1,S53,S53,Dining bar,Creative cuisine,SP191,SP191,5,21
4500,3500,Kyoto,CT71,CT71,Kyoto,52,562,Yes,No,HT201,HT201,Ichishun  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,53,12
3500,3300,Kyoto,CT71,CT71,Kyoto,3,563,Yes,Yes,HT210,HT210,Imomatsu  ,35,136,3,1,S52,S52,Izakaya,Japanese,SP258,SP258,3,14
3500,1500,Kyoto,CT71,CT71,Kyoto,2,564,Yes,Yes,HT224,HT224,Itariankuatoro  ,35,136,3,1,S83,S83,Italian,European Style Curry,SP183,SP183,3,550
3500,1250,Kyoto,CT71,CT71,Kyoto,3,565,Yes,Yes,HT230,HT230,Izakayabambu  ,35,136,3,1,S94,S94,Izakaya,Kappo Japanese,SP258,SP258,3,11
5500,1500,Kyoto,CT71,CT71,Kyoto,3,566,Yes,No,HT237,HT237,Jukuseiyakinikupondo  ,35,136,3,1,S93,S93,Yakiniku BBQ Beef,Horumon BBQ Offel,SP219,SP219,3,115
3500,1250,Kyoto,CT71,CT71,Kyoto,3,567,Yes,Yes,HT238,HT238,Juujuu  ,35,136,3,1,S52,S52,Yakiniku BBQ Beef,Japanese,SP219,SP219,3,201
2500,3500,Kyoto,CT71,CT71,Kyoto,3,568,Yes,No,HT239,HT239,Juunikiyakan  ,35,136,2,1,S64,S64,Izakaya,Kyoto Cuisine,SP258,SP258,3,9
3500,1250,Kyoto,CT71,CT71,Kyoto,3,569,Yes,No,HT261,HT261,Kampaiboupuruda  ,35,136,3,1,S47,S47,Korean cuisine,Yakiniku BBQ Beef,SP263,SP263,3,167
